Country,ListYearPerson_2011,ListYearPerson_2021,ListYearPerson_2030,ListYearPerson_2045,ListYearPersonPrevalence_2011,ListYearPersonPrevalence_2021,ListYearPersonPrevalence_2030,ListYearPersonPrevalence_2045,IGT_2011,IGT_2021,IGT_2030,IGT_2045,IGTPrevalence_2011,IGTPrevalence_2021,IGTPrevalence_2030,IGTPrevalence_2045,IFG_2011,IFG_2021,IFG_2030,IFG_2045,IFGPrevalence_2011,IFGPrevalence_2021,IFGPrevalence_2030,IFGPrevalence_2045,Money20-79_2021,Money20-79_2030,Money20-79_2045,PersonMoney_2021,PersonMoney_2030,PersonMoney_2045
Latvia,166.3,115.8,111.4,94.6,7.8,5.9,6.6,7.1,192.1,49.8,46.4,36.2,9.9,3.5,3.9,4.2,0,36.7,34.7,29.2,0,2.2,2.4,2.5,154.6,143.9,117.3,1335.0,1242.7,1012.9
Lebanon,527.9,396.1,469.0,593.6,19.6,8.0,9.2,10.0,206.2,327.2,333.9,365.7,7.5,10.0,10.3,10.4,0,523.7,542.4,611.8,0,9.8,10.1,10.4,764.7,807.3,921.5,1930.8,2038.2,2326.6
Lesotho,29.1,48.4,57.8,74.8,3.4,4.6,4.9,5.0,59.2,69.7,82.8,109.1,7.0,6.9,7.2,7.4,0,96.3,114.5,150.3,0,9.6,10.0,10.1,23.0,27.0,32.8,474.9,558.1,678.5
Liberia,51.0,47.1,63.2,98.5,3.3,2.1,2.2,2.3,210.5,247.3,319.0,490.4,12.2,11.3,11.5,11.9,0,124.5,169.3,260.5,0,4.8,4.7,4.7,10.9,14.2,21.6,231.2,302.0,458.5
Libya,436.4,399.2,513.6,673.3,13.8,8.7,9.3,9.7,255.4,343.5,409.5,486.2,7.4,10.0,10.3,10.4,0,487.7,599.2,759.0,0,9.8,10.1,10.4,0.0,0.0,0.0,0.0,0.0,0.0
Liechtenstein,1.8,2.5,2.6,2.6,4.7,6.1,6.9,7.4,2.3,5.5,5.8,5.8,6.7,15.8,16.9,17.8,0,0.7,0.8,0.8,0,2.2,2.4,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,235.9,186.9,188.3,154.4,7.8,5.8,6.7,7.4,274.6,73.2,67.2,49.0,9.9,3.5,4.0,4.2,0,53.4,50.2,41.4,0,2.2,2.4,2.5,250.9,241.8,190.5,1342.5,1293.7,1019.6
Luxembourg,21.1,34.6,39.8,48.1,4.5,5.9,6.6,7.3,33.0,84.4,95.3,108.5,7.5,15.8,16.9,17.7,0,25.8,29.4,33.3,0,4.9,5.3,5.5,283.8,321.5,350.5,8192.5,9280.5,10116.6
Madagascar,428.0,535.8,742.1,1202.8,4.7,4.6,4.9,5.0,930.8,936.2,1329.6,2215.3,10.4,7.9,8.3,8.5,0,1118.9,1563.2,2560.4,0,9.4,9.7,9.9,52.8,72.7,114.3,98.5,135.6,213.3
Malawi,352.3,486.0,699.2,1184.5,5.6,7.3,7.4,7.4,552.8,472.5,682.1,1188.8,9.3,7.9,8.3,8.5,0,382.8,544.8,933.8,0,6.0,6.3,6.5,73.2,100.9,161.9,150.7,207.6,333.1
Malaysia,2029.9,4431.5,5024.9,6465.4,12.1,19.0,18.9,19.6,3160.8,3508.8,4111.2,4899.1,18.4,15.5,15.8,16.0,0,494.9,599.7,744.7,0,2.2,2.3,2.4,4833.5,5653.4,6317.4,1090.7,1275.7,1425.6
Maldives,15.2,27.0,35.6,51.0,9.2,9.2,10.0,10.4,8.5,43.6,46.9,56.8,4.8,12.4,12.4,12.4,0,28.6,30.8,38.4,0,7.8,8.2,8.3,50.5,56.0,57.7,1867.4,2071.4,2132.9
Mali,99.8,152.5,213.4,366.2,1.9,2.1,2.2,2.3,654.1,813.2,1096.8,1878.3,11.1,11.3,11.5,11.9,0,410.5,596.5,1039.4,0,4.8,4.7,4.7,28.9,40.0,67.7,189.6,262.4,444.3
Malta,30.1,37.8,36.3,36.2,6.6,8.0,8.7,9.4,26.9,35.1,34.9,34.0,6.7,8.4,9.0,9.4,0,11.3,11.4,11.2,0,2.8,3.1,3.2,107.1,104.2,97.0,2837.6,2758.9,2569.1
