Country,ListYearPerson_2011,ListYearPerson_2021,ListYearPerson_2030,ListYearPerson_2045,ListYearPersonPrevalence_2011,ListYearPersonPrevalence_2021,ListYearPersonPrevalence_2030,ListYearPersonPrevalence_2045,IGT_2011,IGT_2021,IGT_2030,IGT_2045,IGTPrevalence_2011,IGTPrevalence_2021,IGTPrevalence_2030,IGTPrevalence_2045,IFG_2011,IFG_2021,IFG_2030,IFG_2045,IFGPrevalence_2011,IFGPrevalence_2021,IFGPrevalence_2030,IFGPrevalence_2045,Money20-79_2021,Money20-79_2030,Money20-79_2045,PersonMoney_2021,PersonMoney_2030,PersonMoney_2045,OverWeight,Obesity,QualityOfLifeIndex,PurchasingPowerIndex,SafetyIndex,HealthCareIndex,CostOfLivingIndex,PollutionIndex
Haiti,295.5,548.7,692.4,918.7,6.6,8.9,9.1,9.1,212.3,273.7,345.4,482.1,4.6,4.7,5.2,5.5,0,659.6,859.4,1200.9,0,9.9,10.3,10.5,134.2,162.3,193.6,244.5,295.7,352.9,28.965,32.335,0,0,49.41,56.05,0,66.09
Holy See,0,0.1,0.1,0.1,0,7.3,8.1,8.7,0,0.1,0.1,0.1,0,8.3,8.9,9.3,0,0,0,0,0,2.8,3,3.1,0,0,0,0,0,0,0,21.8,0,0,0,0,0,59.37
Honduras,216.9,268.2,376.5,586.8,6.7,5.1,5.6,5.8,189.2,584.5,767.9,1073.1,5.5,10.8,11.4,11.7,0,901.3,1166,1572.8,0,16.1,16.5,16.6,200.9,261.7,352.5,749.1,975.6,1314.4,18.265,12.105,0,0,26.89,72.5,0,28.45
Hungary,568.4,661.4,660.4,626.3,6,7,8,8.5,679.2,236.8,223.4,190.8,7.3,3.5,3.9,4.2,0,306.9,297.8,270,0,3.8,4,4,969.5,931.1,842.4,1465.9,1407.7,1273.7,21,20.13,138.97,47.6,55.16,54.03,68.8,46.8
Iceland,8.6,20.1,22.9,24.9,3.2,5.5,6.4,6.9,19.2,26.6,29.6,31.9,7.6,5.4,5.9,6.3,0,12.8,13.6,14.5,0,4.8,5.2,5.2,168.5,178.4,180.2,8400.7,8891.7,8982.6,18.29,14.41,197.52,44.6,74.75,67.1,79.4,16.24
India,61258.4,74194.7,92973.7,124874.7,9,9.6,10.4,10.8,20467.5,40143.8,50045.4,65557.3,3,5.4,5.6,5.8,0,75123.9,85065.3,95598.7,0,7.8,8.2,8.3,8485.8,10305.5,12834.3,114.4,138.9,173,10.45,38.56,120.17,11,55.68,65.33,37.4,68.1
Indonesia,7291.9,19465.1,23328,28569.9,5.1,10.6,11.3,11.7,12190.2,29611.9,32245.2,34623.1,8.2,17.6,18.1,18.3,0,4009.1,4749.9,5699.2,0,2.2,2.3,2.4,6302.4,7212.9,8403.9,323.8,370.6,431.7,22.375,15.35,98.26,0,45.52,60.64,0,67.36
Iran,4695,5450.3,7174,9545.7,11.1,9.1,10,10.6,2523.4,4663.9,5723.8,6985.4,5.6,8.3,8.7,9,0,2402.4,3007.4,3785.6,0,3.7,4,4.1,7384,9066.8,10024.4,1354.8,1663.5,1839.2,18.83,30.07,74.21,50,50.35,57.48,76.2,67.36
Iraq,1089,2011.4,2738.7,4373.8,9.1,10.7,11.6,12.2,945.4,1514.8,2046.2,3118.4,7.5,8.3,8.7,9,0,1726.6,2314.4,3519.2,0,7.8,8.1,8.3,1710.5,2194.1,3180.3,850.4,1090.8,1581.1,22.425,40,104.13,67,45.44,45.41,63.8,77.54
Ireland,191.4,139.1,160.8,193,5.2,3,3.6,3.9,254.6,110,117.8,131,7.2,3,3,3.1,0,194.4,216.7,242.3,0,4.9,5.3,5.5,1091,1170.8,1265.6,7843.3,8416.9,9098.2,13.535,7.53,160.64,42,77.34,51.59,70,73.15
